key,de,en,es,fr,it,ru,zh-hans
Please correct the duplicate data for %(field)s.,Bitte korrigier die doppelten Daten für %(field)s!,,Corrige los datos duplicados para %(field)s.,Corrigez les données dupliquées pour %(field)s.,Correggi i dati duplicati per %(field)s!,Исправь дублирующиеся данные для %(field)s!,请更正 %(field)s 的重复数据！
Please correct the duplicate values below.,Bitte korrigier die doppelten Werte unten!,,Corrige los valores duplicados a continuación.,Corrigez les valeurs dupliquées ci-dessous.,Correggi i valori duplicati qui sotto!,Исправь дублирующиеся значения ниже!,请更正下面的重复值！
"Please either submit a file or check the clear checkbox, not both.",,,,,"Carica un file OPPURE spunta la casella per cancellare, non entrambi!",Отправь файл или отметь галочку очистки  но не оба!,请提交文件或勾选清除复选框，不能两者都选！
Please enter another email.,"Hey, probier mal 'ne andere E-Mail-Adresse!",Try a different email address!,"Por favor, introduce otro email.",Veuillez entrer une autre adresse e-mail.,"Per favore, metti un'altra email!","Пожалуйста, введите другую почту.",请输入一个新的电子邮箱。
"Please, go to the following page and choose a new password:",Geh auf diese Seite und such dir ein neues Passwort aus:,Click here and pick a brand new secret code:,"Por favor, ve a la siguiente página y elige una nueva contraseña:",Veuillez vous rendre sur la page suivante pour changer le mot de passe:,Vai a questa pagina e scegli una nuova password super sicura:,"Пожалуйста, перейдите на указанную страницу и выберите новый пароль:",请转到以下页面并选择一个新密码：
Positive big integer,Große positive Zahl,,Número entero grande positivo,Grand entier positif,Numero intero grande positivo,Большое положительное целое число,大的正整数
Positive integer,Positive Zahl,,Número entero positivo,Entier positif,Numero intero positivo,Положительное целое число,正整数
Positive small integer,Kleine positive Zahl,,Número entero pequeño positivo,Petit entier positif,Numero intero piccolo positivo,Малое положительное целое число,小的正整数
Previous,Zurück,,Anterior,Précédent,Indietro,Предыдущий,上一页
Previous page,Vorige Seite,,Página anterior,Page précédente,Pagina precedente,Предыдущая страница,上一页
Profile activation,Profil aktivieren,Profile activation,Activación de perfil,Activation de profil,Attivazione del Profilo,Активация профиля,简档激活
Profile data has been successfully updated.,,,Los datos del perfil se han actualizado correctamente.,Votre profil a été modifié avec succès.,Il tuo profilo è stato aggiornato alla grande!,Данные профиля были успешно обновлены.,个人信息数据已成功更新。
Profile picture,Dein Profilbild,Your Awesome Picture,Foto de perfil,Photo de profil,La Tua Foto,Фотография профиля,头像
Raw binary data,Rohe Binärdaten,,Datos binarios crudos,Données binaires brutes,Dati binari grezzi,Сырые бинарные данные,原始二进制数据
Read more about this discovery →,Mehr über diesen Fund lesen →,,Lee más sobre este descubrimiento →,En savoir plus sur cette découverte →,Leggi di più su questa scoperta fantastica →,Узнать больше об этом открытии →,了解更多关于这个发现的信息 →
Remember me,Angemeldet bleiben,Don't forget me!,Recordarme,Se souvenir de moi,Ricordati di me!,Запомнить меня,记住我
Remind a username,Benutzernamen erinnern,Help Me Remember My Name,Recordar un nombre de usuario,Rappeler un nom d'utilisateur,Ricordami il Nome Utente,Напомнить имя пользователя,提醒用户名
Required. Enter an existing email address.,Erforderlich. Geben Sie eine bestehende E-Mail-Adresse ein.,We need your real email address here!,Requerido. Introduce una dirección de email existente.,Requis. Entrez une adresse e-mail existante.,Serve un'email che esiste davvero!,Обязательно. Введите существующий адрес электронной почты.,需要。输入现有的电子邮件地址。
Resend an activation code,Neuen Aktivierungscode schicken,Resend an activation code,Reenviar un código de activación,Renvoyer un code d'activation,Rimanda il Codice Segreto,Повторно отправить код активации,重新发送激活码
Restore password,Passwort zurücksetzen,Restore password,Restablecer contraseña,Réinitialiser le mot de passe,Recupera la Password,Восстановить пароль,恢复密码
Return to StoneWalker Home,Zurück zur StoneWalker-Startseite,Go Back to Stone Adventures,Volver a la página de StoneWalker,Retour à l'accueil de StoneWalker,Torna alla Casa di StoneWalker,Вернуться на главную StoneWalker,返回 StoneWalker 首页
Russian,Russisch,,Ruso,Russe,Russo,Русский,俄语
Sat,Sa,,,Sam.,Sab,Сб,星期六
Saturday,Samstag,,Sábado,Samedi,Sabato,Суббота,星期六
Save,Speichern,,Guardar,Sauvegarder,Salva,Сохранить,保存
Save profile,Profil speichern,Save My Awesome Profile,Guardar perfil,Sauvegarder le profil,Salva il Profilo,Сохранить профиль,保存个人资料
Say something about your stone (max 500 chars),Erzähl was über deinen Stein (max. 500 Zeichen),,Di algo sobre tu piedra (máx. 500 caracteres),Dites quelque chose sur votre pierre (max. 500 caractères),Racconta qualcosa del tuo sasso (massimo 500 caratteri),Расскажи о своём камне (макс. 500 символов),说说你的石头（最多 500 个字符）
Scan Stone,Stein scannen,,Escanear piedra,Scanner une pierre,Scansiona Sasso,Сканировать камень,扫描石头
Scan a Stone,Stein scannen,,Escanear una piedra,Scanner une pierre,Scansiona un Sasso,Сканировать камень,扫描一块石头
Select a valid choice. %(value)s is not one of the available choices.,,,,,Scegli un'opzione valida! %(value)s non è tra le scelte disponibili.,Выбери правильный вариант! %(value)s не входит в доступные варианты.,选择一个有效的选项！%(value)s 不在可用选项中。
Select a valid choice. That choice is not one of the available choices.,,,,,Scegli un'opzione valida! Quella scelta non è tra quelle disponibili.,Выбери правильный вариант! Этот выбор не входит в доступные варианты.,选择一个有效的选项！该选项不在可用选项中。
Select the language,Select the language,,Seleccionar el idioma,Sélectionner la langue,Scegli la lingua,Выбрать язык,选择语言
Select your preferred language,Wähl deine Lieblingssprache!,,Selecciona tu idioma favorito,Choisissez votre langue préférée,Scegli la tua lingua preferita,Выбери свой любимый язык!,选择你喜欢的语言！
Sept.,Sept.,,,Sept.,Sett.,Сент.,九月
September,September,,Septiembre,Septembre,Settembre,Сентябрь,九月
Set it free and watch it travel the world.,"Lass ihn los und schau, wie er die Welt bereist!",,¡Déjalo libre y mira cómo viaja por el mundo!,Libérez-le et regardez-le voyager à travers le monde !,Liberalo e guardalo viaggiare per il mondo!,Отпусти его и смотри  как он путешествует по миру!,放手让它去环游世界！
Shop,Shoppen,,Tienda,Boutique,Negozio,Магазин,商店
Sign up,Anmelden,Sign up,Regístrate,Inscrivez-vous,Registrati,Зарегистрироваться,注册
Simplified Chinese,Chinesisch (einfach),,Chino simplificado,Chinois simplifié,Cinese Semplificato,Китайский (упрощённый),简体中文
Site Maps,,,,,Mappe del Sito,Карта сайта,网站地图
Slug (up to %(max_length)s),Slug (bis zu %(max_length)s Zeichen),,Slug (hasta %(max_length)s caracteres),Slug (jusqu'à %(max_length)s caractères),Slug (fino a %(max_length)s caratteri),Слаг (до %(max_length)s символов),短链接（最多 %(max_length)s 个字符）
Small integer,Kleine Zahl,,Número entero pequeño,Petit entier,Numero intero piccolo,Малое целое число,小的整数
Sort by:,Sortieren nach:,,Ordenar por:,Trier par :,Ordina per:,Сортировать по:,排序方式：
Spanish,Spanisch,,Española,Espagnol,Spagnolo,Испанский,西班牙语
Square,Quadrat,,Cuadrado,Carré,Quadrato,Квадрат,方形
Star,Stern,,Estrella,Étoile,Stella,Звезда,星星
Start Exploring,"Los, erkunde!",,¡Empieza a explorar!,Commencez à explorer !,Inizia ad Esplorare,Начни исследовать!,开始探索！
Start Your Journey,Starte dein Abenteuer!,,¡Comienza tu aventura!,Commencez votre aventure !,Inizia la Tua Avventura,Начни своё приключение!,开始你的冒险！
Static Files,,,,,File Statici,Статические файлы,静态文件
Stone Name,Stein-Name,,Nombre de la piedra,Nom de la pierre,Nome del Sasso,Имя камня,石头名字
Stone Type,Stein-Art,,Tipo de piedra,Type de pierre,Tipo di Sasso,Тип камня,石头类型
String (unlimited),Text (ohne Limit),,Texto (sin límite),Texte (illimité),Testo (senza limiti),Строка (без ограничений),字符串（无限制）
String (up to %(max_length)s),Text (bis zu %(max_length)s Zeichen),,Texto (hasta %(max_length)s caracteres),Texte (jusqu'à %(max_length)s caractères),Testo (fino a %(max_length)s caratteri),Строка (до %(max_length)s символов),字符串（最多 %(max_length)s 个字符）
Submit Scan,Scan abschicken,,Enviar escaneo,Envoyer le scan,Invia Scansione,Отправить сканирование,提交扫描
Sun,So,,,Dim.,Dom,Вс,星期日
Sunday,Sonntag,,Domingo,Dimanche,Domenica,Воскресенье,星期日
Syndication,,,,,Syndication,联合供稿,联合供稿
Tell us about your stone adventure...,Erzähl uns von deinem Stein-Abenteuer...,,Cuéntanos sobre tu aventura con la piedra...,Racontez-nous votre aventure avec la pierre...,Raccontaci della tua avventura con il sasso...,Расскажи о своём приключении с камнем...,告诉我们你的石头冒险故事……
Text,Text,,Texto,Texte,Testo,Текст,文本
Thanks for spending some quality time with StoneWalker today!,"Danke, dass du heute mit StoneWalker gespielt hast!",Thanks for going on awesome stone adventures with us today!,¡Gracias por pasar un rato genial con StoneWalker hoy!,Merci d'avoir passé un super moment avec StoneWalker aujourd'hui !,Grazie per aver passato del tempo fantastico con StoneWalker oggi!,Спасибо за весёлое время с StoneWalker сегодня!,感谢你今天与 StoneWalker 度过的美好时光！
That page contains no results,,,,,Questa pagina è vuota come una scatola senza biscotti!,Эта страница пуста  как коробка без печенья!,这个页面空空的，像没有饼干的盒子！
That page number is less than 1,,,,,Quel numero di pagina è troppo piccolo!,Номер страницы меньше 1!,页面编号小于 1！
That page number is not an integer,,,,,Quel numero di pagina non è un numero intero!,Номер страницы не является целым числом!,页面编号不是整数！
The StoneWalker forum is coming soon. Stay tuned!,Die StoneWalker-Plauderecke kommt bald – bleib dran!,,¡El foro de StoneWalker llega pronto! ¡Mantente al tanto!,Le forum StoneWalker arrive bientôt. Restez à l'écoute !,Il forum di StoneWalker arriva presto! Resta sintonizzato!,Форум StoneWalker скоро появится. Следи за новостями!,StoneWalker 论坛即将推出，敬请期待！
The StoneWalker shop is coming soon. Stay tuned!,Der StoneWalker-Shop kommt bald – freu dich drauf!,,¡La tienda de StoneWalker llega pronto! ¡Mantente al tanto!,La boutique StoneWalker arrive bientôt. Restez à l'écoute !,Il negozio di StoneWalker arriva presto! Resta sintonizzato!,Магазин StoneWalker скоро появится. Следи за новостями!,StoneWalker 商店即将推出，敬请期待！
The inline value did not match the parent instance.,Der Wert passt nicht zum Hauptwert!,,El valor no coincide con la instancia principal.,La valeur en ligne ne correspond pas à l'instance principale.,Il valore inline non corrisponde all'istanza principale!,Встроенное значение не соответствует родительскому экземпляру.,内联值与父实例不匹配。
The install worked successfully! Congratulations!,"Die Installation hat geklappt! Juhu, super gemacht!",,¡La instalación funcionó con éxito! ¡Felicidades!,L'installation a réussi ! Félicitations !,L'installazione è andata benissimo! Complimenti!,Установка прошла успешно! Поздравляем!,安装成功！恭喜！
The number of days must be between {min_days} and {max_days}.,Die Tage müssen zwischen {min_days} und {max_days} liegen!,,El número de días debe estar entre {min_days} y {max_days}.,Le nombre de jours doit être entre {min_days} et {max_days}.,Il numero di giorni deve essere tra {min_days} e {max_days}!,Количество дней должно быть от {min_days} до {max_days}.,天数必须在 {min_days} 和 {max_days} 之间。
The submitted file is empty.,Die hochgeladene Datei ist leer!,,El archivo enviado está vacío.,Le fichier soumis est vide.,Il file che hai caricato è vuoto!,Отправленный файл пуст!,提交的文件是空的！
This account has already been activated.,Dieses Konto wurde bereits aktiviert.,Good news! Your account is already ready to go!,Esta cuenta ya ha sido activada.,Ce compte est déjà activé.,Il tuo account è già sveglio e pronto!,Эта учётная запись уже активирована.,该帐户已被激活。
This account is not active.,Dieses Konto ist nicht aktiv.,Your account is sleeping! Check your email to wake-make it up.,Esta cuenta no está activa.,Ce compte n'est pas actif.,Questo account sta dormendo! Devi attivarlo prima.,Эта учётная запись не активна.,此帐户未激活。
This email address is already in use by another account.,"Hoppla, diese E-Mail-Adresse benutzt schon jemand anders.",Someone else is already using that email. Pick a different one!,Este correo ya está en uso por otra cuenta.,Cette adresse e-mail est déjà utilisée par un autre compte.,Un altro esploratore di sassi sta già usando questa email!,Этот адрес электронной почты уже используется другой учётной записью.,这个电子邮件地址已被另一个账户使用。
This field cannot be blank.,Dieses Feld darf nicht leer sein.,,Este campo no puede estar vacío.,Ce champ ne peut pas être vide.,Questo campo deve essere riempito!,Это поле не может быть пустым.,此字段不能为空。
This field cannot be null.,Dieses Feld darf nicht leer sein.,,Este campo no puede ser nulo.,Ce champ ne peut pas être nul.,Questo campo non può essere vuoto!,Это поле не может быть пустым.,此字段不能为null。
This field is required.,Dieses Feld musst du ausfüllen!,,Este campo es obligatorio.,Ce champ est requis.,"Ehi, questo campo è obbligatorio!",Это поле обязательно!,此字段是必填的！
This is not a valid IPv6 address.,Das ist keine richtige IPv6-Adresse!,,No es una dirección IPv6 válida.,Ce n'est pas une adresse IPv6 valide.,Questo non è un indirizzo IPv6 valido!,Это не действительный адрес IPv6!,这不是一个有效的 IPv6 地址！
This username is already taken.,Dieser Benutzername ist bereits vergeben.,Someone beat you to that name! Pick another awesome one.,Este nombre de usuario ya está en uso.,Ce nom d'utilisateur est déjà pris.,Qualcun altro ha già preso questo nome! Scegli qualcosa di più originale!,Это имя пользователя уже занято.,这个用户名已经被占用。
Thu,Do,,,Jeu.,Gio,Чт,星期四
Thursday,Donnerstag,,Jueves,Jeudi,Giovedì,Четверг,星期四
Time,Uhrzeit,,Hora,Heure,Ora,Время,时间
"To activate your profile, please follow this link:","Klick auf den Link, um dein Profil zu aktivieren:",Click this magic link to activate your account:,"Para activar tu perfil, por favor sigue este enlace:","Pour activer votre profil, veuillez suivre ce lien :","Per svegliare il tuo profilo, clicca su questo link magico:","Для активации вашего профиля, перейдите по этой ссылке:",若要激活你的账号，请访问以下链接：
"To change your current email address, please follow the link:","Klick hier, um deine E-Mail-Adresse zu ändern:",Click here to change your email address:,"Para cambiar tu dirección de correo actual, por favor sigue el enlace:","Pour changer votre adresse e-mail actuelle, veuillez suivre ce lien :","Per cambiare la tua email, segui questo link speciale:",,要更改您当前的电子邮件地址，请点击以下链接：
"To complete the change of email address, click on the link sent to it.","Klick auf den Link in der E-Mail, um die neue Adresse zu bestätigen!",,"Para completar el cambio de correo, haz clic en el enlace enviado.","Pour finaliser le changement d'e-mail, cliquez sur le lien envoyé.","Per finire di cambiare l'email, clicca sul link che ti abbiamo mandato!",,要完成电子邮件地址的更改，请点击发送给它的链接。
"Topics, references, &amp; how-to's","Themen, Infos und Anleitungen",,,,"Argomenti, riferimenti e istruzioni!",Темы  ссылки и инструкции!,主题、参考和指南
Track the journey of painted stones around the world,Verfolge die Reise bemalter Steine um die Welt,,Sigue el viaje de las piedras pintadas por el mundo,Suivez le voyage des pierres peintes à travers le monde,Segui il viaggio dei sassi dipinti in tutto il mondo,Отслеживай путешествие раскрашенных камней по миру,追踪彩绘石头在世界各地的旅程
Triangle,Dreieck,,Triángulo,Triangle,Triangolo,Треугольник,三角形
Tue,Di,,,Mar.,Mar,Вт,星期二
Tuesday,Dienstag,,Martes,Mardi,Martedì,Вторник,星期二
Tutorial: A Polling App,Anleitung: Eine Umfrage-App,,Tutorial: Una aplicación de encuestas,Tutoriel : Une application de sondage,Tutorial: Un'App per Votazioni,Руководство: Приложение для голосования,教程：投票应用
URL,Webadresse,,URL,URL,URL,URL,URL
Universally unique identifier,Einzigartige ID,,Identificador único universal,Identifiant unique universel,Identificatore universalmente unico,Универсальный уникальный идентификатор,全球唯一标识符
Unknown,Unbekannt,,Desconocido,Inconnu,Sconosciuto,Неизвестно,未知
"Use non-toxic, weather-resistant paint, like acrylic.","Nutze ungiftige, wetterfeste Farbe, wie Acryl!",,,Utilisez une peinture non toxique et résistante aux intempéries comme l'acrylique.,"Usa colori non tossici e resistenti al tempo, come quelli acrilici.",Используй нетоксичную  устойчивую к погоде краску  например акриловую.,使用无毒、耐候的颜料，如丙烯酸颜料。
Username,Benutzername,Your Cool Name,Nombre de usuario,Nom d'utilisateur,Nome Utente,Имя пользователя,用户名
Username cannot be empty.,Benutzername darf nicht leer sein.,You gotta pick a name! It can't be empty.,El nombre de usuario no puede estar vacío.,Le nom d'utilisateur ne peut pas être vide.,Il nome utente non può essere vuoto! Scrivi qualcosa di figo!,Имя пользователя не может быть пустым.,用户名不能为空。
Username cannot contain whitespace.,Benutzername darf keine Leerzeichen enthalten.,"No spaces in your name, please! Make it one cool word.",El nombre de usuario no puede contener espacios.,Le nom d'utilisateur ne peut pas contenir d'espaces.,Il nome utente non può avere spazi. Tutto attaccato!,Имя пользователя не может содержать пробелы.,用户名不能包含空格。
Value %(value)r is not a valid choice.,Der Wert %(value)r ist keine gültige Auswahl.,,El valor %(value)r no es una opción válida.,La valeur %(value)r n'est pas un choix valide.,Il valore %(value)r non è una scelta valida!,Значение %(value)r не является допустимым выбором.,值 %(value)r 不是一个有效的选择。
Value must be valid JSON.,Der Wert muss richtiges JSON sein!,,El valor debe ser un JSON válido.,La valeur doit être un JSON valide.,Il valore deve essere un JSON valido!,Значение должно быть действительным JSON!,值必须是有效的 JSON！
Wed,Mi,,,Mer.,Mer,Ср,星期三
Wednesday,Mittwoch,,Miércoles,Mercredi,Mercoledì,Среда,星期三
Welcome to StoneWalker,Willkommen bei StoneWalker,,¡Bienvenido a StoneWalker!,Bienvenue à StoneWalker,Benvenuto in StoneWalker,Добро пожаловать в StoneWalker,欢迎体验 StoneWalker
Welcome to StoneWalker!,Hallo bei StoneWalker!,,¡Bienvenido a StoneWalker!,Bienvenue à StoneWalker !,Benvenuto in StoneWalker!,Добро пожаловать в StoneWalker!,欢迎来到 StoneWalker！
Yes,Ja,,Sí,Oui,Sì,Да,是
You are a guest.,Du bist ein Gast.,,Has ingresado al sitio como invitado.,Vous êtes connecté en mode invité.,Sei un ospite.,Вы гость.,你目前的身份是访客。
You are successfully signed up!,"Juhu, du bist jetzt dabei!",You are successfully signed up!,¡Te has registrado con éxito!,Vous vous êtes inscrit avec succès !,Fantastico! Ti sei registrato con successo!,Вы успешно создали учётную запись!,您已成功注册！
You can not use this email address.,Sie können diese E-Mail-Adresse nicht verwenden.,"Sorry, that email won't work. Try a different one!",No puedes usar esta dirección de correo.,Vous ne pouvez pas utiliser cette adresse e-mail.,Questa email non si può usare. Scegline un'altra!,Вы не можете использовать этот адрес электронной почты.,你不能使用这个电子邮件地址。
You can not use this mail.,Diese E-Mail-Adresse geht leider nicht.,That email won't work. Got another one?,No puedes usar este correo.,Vous ne pouvez pas utiliser cet e-mail.,Questa email non funziona. Provane un'altra!,Вы не можете использовать эту почту.,你不能使用这个邮箱。
You entered an invalid email address or username.,,"Hmm, we can't find that email or name. Try again!",Has introducido un correo o nombre de usuario no válidos.,E-mail ou nom d'utilisateur incorrect.,Ops! L'email o il nome utente non sono giusti. Riprova!,Вы ввели неверный адрес электронной почты или имя пользователя.,您输入了无效的电子邮件地址或用户名。
You entered an invalid email address.,Sie haben eine ungültige E-Mail-Adresse eingegeben.,That email looks wonky! Double-check it for us.,Has introducido un correo electrónico no válido.,Adresse e-mail incorrecte.,Ehi! Questa email sembra un po' strana. Controllala bene!,Вы ввели неверный адрес электронной почты.,你输入了一个无效的邮箱地址。
You entered an invalid password.,Sie haben ein ungültiges Passwort eingegeben.,Oops! That secret code isn't right. Try again!,Has introducido una contraseña no válida.,Mot de passe incorrect.,Ops! La password non è corretta. Riprova!,Вы ввели неверный пароль.,您输入了无效的密码。
You entered an invalid username.,Sie haben einen ungültigen Benutzernamen eingegeben.,"Hmm, that name doesn't look right. Pick another awesome one!",Has introducido un nombre de usuario no válido.,Nom d'utilisateur incorrect.,Mmm... questo nome utente non va bene. Prova con un altro!,Вы ввели неверное имя пользователя.,您输入了无效的用户名。
You have successfully activated your account!,"Yeah, dein Konto ist jetzt aktiv!",You have successfully activated your account!,¡Has activado tu cuenta con éxito!,Vous avez activé votre compte avec succès !,Evviva! Hai attivato il tuo account con successo!,Вы успешно активировали свою учётную запись!,你已成功激活你的账号！
You have successfully changed your email!,"Juhu, deine E-Mail ist jetzt geändert!",,¡Has cambiado tu correo con éxito!,Vous avez changé votre e-mail avec succès !,Hai cambiato la tua email con successo!,Вы успешно изменили свою почту!,你成功修改了你的电子邮箱地址！
You should receive them shortly.,Die E-Mail kommt gleich an!,You should receive them shortly.,Deberías recibirlos pronto.,Vous devriez les recevoir bientôt.,Dovresti riceverle tra pochissimo!,Вы должны получить его в скором времени.,你应该很快就能收到邮件。
Youngest,Jüngster,,Más joven,Le plus jeune,Più Recente,Самый молодой,最新
Your password has been set. You may go ahead and log in now.,Dein Passwort ist fertig! Jetzt kannst du dich einloggen.,,Tu contraseña ha sido establecida. ¡Puedes iniciar sesión ahora!,Votre mot de passe est défini. Vous pouvez maintenant vous connecter.,La tua password è pronta! Ora puoi entrare!,Ваш пароль установлен. Теперь вы можете войти.,你的密码已经设置好。现在可以登录了。
Your password was changed.,,,Tu contraseña ha sido cambiada.,Votre mot de passe a été changé.,La tua password è stata cambiata!,Ваш пароль изменён.,你的密码已被更改。
Your username,Ihr Benutzername ist:,Your username,Tu nombre de usuario,Votre nom d'utilisateur,Il Tuo Nome Utente,Ваше имя пользователя,您的用户名
Your username has been successfully sent to your email.,Dein Benutzername ist in deiner E-Mail gelandet!,,Tu nombre de usuario ha sido enviado a tu correo.,Votre nom d'utilisateur a été envoyé à votre e-mail.,Il tuo nome utente è stato mandato alla tua email!,Ваше имя пользователя успешно отправлено на вашу почту.,你的用户名已成功发送到你的邮箱。
Your username is,,,Tu nombre de usuario es,Votre nom d'utilisateur est,Il tuo nome utente è,Ваше имя пользователя,你的用户名是
Your username is:,Dein Benutzername ist:,Your cool name is:,Tu nombre de usuario es:,Votre nom d'utilisateur est:,Il tuo nome utente è:,Ваше имя пользователя:,你的用户名是：
\\,,,,,\\,\\,\\
a.m.,vormittags,,Mañana,Matin,matt.,Утро,上午
and,und,,y,et,e,и,和
apr,apr,,abr,avril,apr,апр,四月
aug,aug,,ago,août,ago,авг,八月
close,,,,,chiudi,Закрыть,关闭
dec,dez,,dic,déc.,dic,дек,十二月
feb,feb,,feb,févr.,feb,фев,二月
jan,jan,,ene,janv.,gen,янв,一月
jul,jul,,jul,jui.,lug,июл,七月
jun,jun,,jun,juin,giu,июн,六月
mar,mär,,mar,mars,mar,март,三月
may,mai,,may,mai,mag,май,五月
midnight,Mitternacht,,Medianoche,Minuit,mezzanotte,Полночь,午夜
noon,Mittag,,Mediodía,Midi,mezzogiorno,Полдень,中午
nov,nov,,nov,nov.,nov,нояб,十一月
oct,okt,,oct,oct.,ott,окт,十月
or,oder,,o,ou,o,или,或
p.m.,nachmittags,,Tarde,Après-midi,pom.,Вечер,下午
sep,sep,,sep,sept.,set,сент,九月
"yes,no,maybe","Ja, Nein, Vielleicht",,"Sí, No, Tal vez","Oui, Non, Peut-être","sì, no, forse","Да, нет, может быть",是，否，也许
"%(path)s" does not exist,„%(path)s" gibt's nicht!,,"%(path)s" no existe.,"%(path)s" n'existe pas.,,"%(path)s" не существует.,"%(path)s" 不存在。
"%(pk)s" is not a valid value.,"%(pk)s" ist kein richtiger Wert!,"%(pk)s" is not a valid value.,"%(pk)s" no es un valor válido.,"%(pk)s" n'est pas une valeur valide.,"%(pk)s" is not a valid value.,"%(pk)s" не является допустимым значением.,"%(pk)s" 不是一个有效值。
"%(value)s" value must be either True or False.,Der Wert "%(value)s" muss entweder True oder False sein.,"%(value)s" value must be either True or False.,El valor "%(value)s" debe ser Verdadero o Falso.,La valeur "%(value)s" doit être Vrai ou Faux.,"%(value)s" value must be either True or False.,"%(value)s" должен быть либо Истина либо Ложь.,值 "%(value)s" 必须是真或假。
"%(value)s" value must be either True, False, or None.,"Der Wert "%(value)s" muss True, False oder nix sein!","%(value)s" value must be either True, False, or None.,El valor "%(value)s" debe ser Verdadero Falso o Nada.,La valeur "%(value)s" doit être Vrai Faux ou Rien.,"%(value)s" value must be either True, False, or None.,"%(value)s" должен быть Истина Ложь или Ничего.,值 "%(value)s" 必须是真、假或无。
Stone Found!,Stein gefunden!,,¡Piedra encontrada!,Pierre trouvée !,Sasso Trovato!,Камень найден!,石头找到了！
Stone Information,Stein-Informationen,,Información de la piedra,Informations sur la pierre,Informazioni del Sasso,Информация о камне,石头信息
Name:,Name:,,Nombre:,Nom :,Nome:,Имя:,名称：
Type:,Typ:,,Tipo:,Type :,Tipo:,Тип:,类型：
Description:,Beschreibung:,,Descripción:,Description :,Descrizione:,Описание:,描述：
Created by:,Erstellt von:,,Creado por:,Créé par :,Creato da:,Создан:,创建者：
Welcome to StoneWalker!,Willkommen bei StoneWalker!,,¡Bienvenido a StoneWalker!,Bienvenue à StoneWalker !,Benvenuto in StoneWalker!,Добро пожаловать в StoneWalker!,欢迎来到 StoneWalker！
This is your first stone! Here's how it works:,Das ist dein erster Stein! So funktioniert's:,,¡Este es tu primer piedra! Así funciona:,C'est votre première pierre ! Voici comment ça marche :,Questo è il tuo primo sasso! Ecco come funziona:,Это твой первый камень! Вот как это работает:,这是你的第一块石头！以下是它的工作原理：
You found a stone that someone else placed,Du hast einen Stein gefunden, den jemand anders hingelegt hat,,Encontraste una piedra que alguien más colocó,Tu as trouvé une pierre que quelqu'un d'autre a placée,Hai trovato un sasso che qualcun altro ha messo,Ты нашёл камень, который кто-то другой положил,你找到了一块别人放置的石头
Now you need to tell us where you found it,Jetzt musst du uns sagen, wo du ihn gefunden hast,,Ahora necesitas decirnos dónde lo encontraste,Maintenant tu dois nous dire où tu l'as trouvée,Ora devi dirci dove l'hai trovato,Теперь тебе нужно сказать нам, где ты его нашёл,现在你需要告诉我们你在哪里找到它的
If it's a hunted stone, you'll place it somewhere new next week,Wenn es ein gejagter Stein ist, legst du ihn nächste Woche woanders hin,,Si es una piedra cazada, la colocarás en un lugar nuevo la próxima semana,Si c'est une pierre chassée, tu la placeras ailleurs la semaine prochaine,Se è un sasso cacciato, lo metterai da qualche parte nuova la prossima settimana,Если это охотничий камень, ты положишь его в новое место на следующей неделе,如果这是一块被追捕的石头，你下周会把它放在新的地方
This creates a trail of stone movements around the world!,Das schafft eine Spur von Steinbewegungen um die Welt!,,¡Esto crea un rastro de movimientos de piedras alrededor del mundo!,Cela crée une piste de mouvements de pierres autour du monde !,Questo crea una scia di movimenti di sassi in tutto il mondo!,Это создаёт след каменных движений по всему миру!,这创造了石头在世界各地移动的轨迹！
Hunted Stone Found!,Gejagter Stein gefunden!,,¡Piedra cazada encontrada!,Pierre chassée trouvée !,Sasso Cacciato Trovato!,Охотничий камень найден!,被追捕的石头找到了！
Congratulations! Many others were probably looking for this stone. You've found it!,Glückwunsch! Viele andere haben wahrscheinlich nach diesem Stein gesucht. Du hast ihn gefunden!,,¡Felicidades! Muchos otros probablemente estaban buscando esta piedra. ¡La encontraste!,Félicitations ! Beaucoup d'autres cherchaient probablement cette pierre. Tu l'as trouvée !,Congratulazioni! Molti altri probabilmente stavano cercando questo sasso. L'hai trovato!,Поздравляем! Многие другие, вероятно, искали этот камень. Ты нашёл его!,恭喜！可能有很多其他人都在寻找这块石头。你找到了它！
Next week, you'll place it in a new location for others to find.,Nächste Woche legst du ihn an einem neuen Ort für andere zum Finden.,,La próxima semana, la colocarás en una nueva ubicación para que otros la encuentren.,La semaine prochaine, tu la placeras à un nouvel endroit pour que d'autres la trouvent.,La prossima settimana lo metterai in un posto nuovo per far sì che altri lo trovino.,На следующей неделе ты положишь его в новом месте для других.,下周，你会把它放在一个新的地方供其他人寻找。
Comment (optional),"Kommentar (kannst du, musst du aber nicht)",,Comentario (opcional),Commentaire (facultatif),Commento (facoltativo),Комментарий (не обязательно),评论（可选）
Tell us about your stone adventure...,Erzähl uns von deinem Stein-Abenteuer...,,Cuéntanos sobre tu aventura con la piedra...,Racontez-nous votre aventure avec la pierre...,Raccontaci della tua avventura con il sasso...,Расскажи о своём приключении с камнем...,告诉我们你的石头冒险故事……
Photo (optional),Foto (optional),,Foto (opcional),Photo (facultatif),Foto (facoltativo),Фото (не обязательно),照片（可选）
